"","TLS_ID","stemlocx_.m._x","stemlocy_.m._x","Vol_QSM_avg_.m3._x","BLEN..m.","Hgt_pts_.m._x","DBH_TLS_.m._x","DBH_census_.m._x","leaf_area","leaf_area_start","hmean"
"675","324a",51.73170916,118.7733973,0.1768,72.57379566,10.881504,0.163040195,0.161,20,40,7.02178182657397
"676","324b",51.89655987,118.3996353,0.9211,441.0181439,16.3974176,0.260798481,0.271,121.5,243,12.4006642162015
"677","330a",68.66037145,157.5437969,0.07575,106.0203216,8.5877699,0.093742275,0.088,29.2,58.4,4.34940520359373
"678","330b",68.16476311,157.3220643,0.02258,30.44330066,3.374977,0.07368,0.088,8.4,16.8,0.861140651871254
"679","330c",68.37909798,156.9079672,1.7731,743.1219098,22.0781896,0.344604427,0.368,204.7,409.4,7.63842033114263
"680","330d",68.77636889,156.7760453,0.7918,360.4165794,21.2058802,0.252494939,0.255,99.3,198.6,17.1942051978935
"681","33a",14.29336856,103.1947589,1.2206,342.7978862,16.4763015,0.336504695,0.339,94.4,188.9,12.869436546862
"682","33b",14.70913741,103.1493048,0.2984,48.59207897,15.1168105,0.220880919,0.248,13.4,26.8,0.881002592141247
"683","344a",38.20724357,125.6808711,2.0407,967.9911282,19.4057801,0.342691925,0.362,266.7,533.3,7.3463532279673
"684","344b",38.51467477,126.0146218,0.2101,167.0544324,12.46072216,0.14884047,0.149,46,92,7.09969810327885
"685","354a",26.55149534,103.2313356,0.3798,253.4949202,14.6645796,0.175591367,0.178,69.8,139.7,10.2871066460002
"686","354b",26.67213921,102.8626816,2.8695,988.2732094,21.2273021,0.381583279,0.39,272.3,544.5,10.3463598038667
"687","387a",126.3705448,142.6146299,2.5302,1234.224642,22.915938,0.368820216,0.376,340,680,18.0995101293099
"688","387b",125.7312803,142.2298609,2.2616,868.9360186,23.839627,0.370505341,0.38,239.4,478.8,7.29602301241098
