TLS_ID,stemlocx_[m]_x,stemlocy_[m]_x,Vol_QSM_avg_[m3]_x,BLEN (m),Hgt_pts_[m]_x,DBH_TLS_[m]_x,DBH_census_[m]_x,leaf_area,leaf_area_start
8140,74.5957769,161.465462,0.04043,79.66892105,8.0064643,0.062693576,0.062,21.9,43.9
8142,74.17258729,160.2665526,0.0742,135.0319761,6.3919361,0.08148,0.081,37.2,74.4
8146,137.6221642,125.267408,0.04281,80.96650622,9.4881954,0.061818028,0.064,22.3,44.6
8150,87.80993507,167.8720783,0.06063,69.51255997,9.7455839,0.098753531,0.078,19.1,38.3
8153,89.26475449,163.0088431,0.04642,81.07959982,7.2745225,0.06127,,22.3,44.7
8154,89.22770857,159.9837675,0.02064,54.48810854,6.0932062,0.044072823,,15.0,30.0
8156,95.05313692,157.9587159,0.04081,59.32319074,8.5409031,0.07762,,16.3,32.7
8157,97.18336898,158.3213646,0.10838,82.93006069,10.94648774,0.1322,,22.8,45.7
8158,96.72873716,156.0438631,0.0112,9.652118662,6.6112566,0.113971322,,2.7,5.3
8162,102.2796153,141.2379049,0.6924,221.2962775,23.281557,0.20659919,0.209,61.0,121.9
8164,103.8632777,147.000556,0.09268,72.44556023,12.1852569,0.091846382,0.084,20.0,39.9
8165,109.1793943,145.5577272,0.05483,76.54587844,9.77719593,0.07319,,21.1,42.2
8167,103.486335,148.5385198,0.011243,17.54907253,6.3956909,0.04899,0.042,4.8,9.7
8168,103.8245878,150.2346607,0.01282,19.77776484,5.8324061,0.044945944,0.038,5.4,10.9
8170,105.9957432,150.0632408,0.03413,49.6225901,9.37956433,0.05489,,13.7,27.3
8174,109.6488645,160.7114938,0.04335,94.21768313,4.6537795,0.06302,0.061,26.0,51.9
8177,100.8460105,135.5518369,0.060266,130.5022184,5.9192491,0.06422,0.066,36.0,71.9
8178,137.1125789,178.0763232,0.1479,142.9932872,10.9641606,0.1297,0.112,39.4,78.8
8179,134.8838303,168.5825069,0.009884,13.38343076,2.952845,0.04277,0.029,3.7,7.4
8180,133.360719,167.8101113,0.03455,50.10836289,6.7165192,0.06189,0.054,13.8,27.6
8182,129.4634386,174.0092284,0.03804,69.42222649,8.3919337,0.06011,0.061,19.1,38.2
8190,131.1408747,166.1844739,0.203,126.6827215,13.39478378,0.158962725,0.148,34.9,69.8
8191,132.197884,165.6116341,0.03234,32.87405144,7.637842,0.070733354,,9.1,18.1
8193,112.5788213,169.236767,0.2554,294.7174248,11.1508673,0.110997402,,81.2,162.4
8198,117.7655349,152.3976199,0.9897,378.4318891,22.920618,0.271582959,0.277,104.3,208.5
8201,131.433539,153.680858,0.1605,196.7728403,11.74302278,0.095885611,0.105,54.2,108.4
8203,139.8805571,145.3654788,0.0172,22.25709185,8.08428188,0.055948203,0.054,6.1,12.3
8204,138.9743726,142.4196114,0.3945,509.9741566,10.6820107,0.1146,0.112,140.5,281.0
8206,117.6708718,135.2886951,0.1819,331.4734661,7.4703179,0.10621211,0.093,91.3,182.6
8207,127.3028259,123.885554,0.2378,244.5477385,10.9084978,0.1028,0.114,67.4,134.7
8208,122.1142741,126.4260337,0.08923,103.7975598,9.3656245,0.08547,0.087,28.6,57.2
8209,121.8292402,133.7634942,0.009032,24.67692951,6.2368345,0.038401049,0.043,6.8,13.6
8210,119.2836227,134.2108341,0.011549,15.78785148,3.9826184,0.04378,0.046,4.3,8.7
8211,119.5003821,131.1305085,0.007502,13.43909192,4.1322127,0.04242,0.044,3.7,7.4
8212,126.3185449,128.6120156,0.04634,94.99181997,5.3595853,0.05318,,26.2,52.3
8215,131.4575764,135.3226938,0.008451,16.105987,2.1721201,0.04675,,4.4,8.9
8216,133.0613069,136.7048599,0.01801,44.36088762,5.5856607,0.04831914,,12.2,24.4
8217,132.758471,139.1008163,0.01289,22.64317779,4.9664433,0.091197421,,6.2,12.5
8218,137.6007891,135.9482387,0.03794,63.26701287,8.0172555,0.05583,0.059,17.4,34.9
8219,132.2285204,142.546234,0.671,467.0665303,20.7583458,0.194392669,0.205,128.7,257.3
8221,134.2075674,137.9272087,0.02754,46.267238,4.8013733,0.05733,,12.7,25.5
8223,105.1352254,146.7296966,0.01273,17.5669856,5.963242,0.05089,0.071,4.8,9.7
8224,127.5793812,122.6558691,0.5523,251.7846448,22.6205494,0.185885953,0.191,69.4,138.7
8300,0.343996171,106.3654288,0.09586,159.4508477,6.671713,0.06707,,43.9,87.9
8303,2.408086999,105.0003228,0.1193,124.8599118,13.7848353,0.111718699,0.107,34.4,68.8
8304,2.244708861,103.8795978,0.121,110.3035594,12.8248502,0.130414742,0.116,30.4,60.8
8306,16.68775389,109.462617,0.04735,22.59318688,12.1037005,0.0761,,6.2,12.4
8308,17.40830092,107.6373019,0.01318,9.656976975,3.25078,0.06528,,2.7,5.3
8309,18.36984737,106.920473,0.1656,156.4586237,10.4211041,0.164313626,,43.1,86.2
8312,38.45080451,102.5008863,0.04028,46.55101972,8.510737,0.072006733,0.072,12.8,25.6
8313,38.89733504,102.8698563,0.10567,94.90140054,7.8773277,0.11123367,0.115,26.1,52.3
8317,4.784016442,117.0246106,0.03814,68.69554125,9.1923373,0.056522914,0.057,18.9,37.8
8319,14.48632549,119.0238131,0.08929,63.16549101,12.1884749,0.117145575,,17.4,34.8
8320,13.87406542,123.6996754,0.02328,10.88934566,5.9340814,0.098016737,0.094,3.0,6.0
8321,11.96744921,128.604672,0.06983,94.95257447,8.6729158,0.120963231,0.108,26.2,52.3
8322,14.36570269,123.2477003,0.03028,30.74795653,8.4970337,0.067519318,0.071,8.5,16.9
8323,14.58865769,123.0291761,0.06635,52.85883043,11.1053468,0.092212799,0.089,14.6,29.1
8324,15.07211248,119.1971717,0.10114,57.16747127,11.7233544,0.11481981,,15.7,31.5
8325,29.79169193,113.9578091,0.07779,165.4280892,8.2704577,0.066665693,0.064,45.6,91.1
8326,29.58427634,122.0072836,0.04616,76.81712427,7.2188407,0.083263811,0.072,21.2,42.3
8327,35.38023753,126.6645096,0.08476,149.156744,7.773475,0.070695912,0.073,41.1,82.2
8329,35.80872924,114.8823015,0.00856,11.05534584,4.5416524,0.04639,,3.0,6.1
8330,36.11976443,115.4634407,0.08086,161.5892382,7.2960023,0.07536274,0.076,44.5,89.0
8331,35.82385723,115.5807728,0.05489,112.2729049,5.78054,0.079049175,0.08,30.9,61.9
8332,35.7290142,116.5392951,0.03546,95.1774192,7.0193576,0.04901,,26.2,52.4
8334,25.20118584,126.8775415,0.06127,52.03418455,8.5756012,0.08687,,14.3,28.7
8335,23.06818547,128.9496117,0.2373,133.1479705,8.4224339,0.158799695,0.157,36.7,73.4
8336,22.53574071,123.1784435,0.09472,131.1509299,7.3852693,0.08591,,36.1,72.3
8337,22.76569183,123.880623,0.01482,30.63326931,4.5004424,0.040078173,,8.4,16.9
8338,22.05398352,128.8524247,0.009589,11.29451148,4.1078772,0.031357846,,3.1,6.2
8339,21.61619992,128.640268,0.2128,338.4046255,8.9124479,0.112373364,0.106,93.2,186.5
8340,21.0936914,129.1074389,0.05503,148.0986401,4.9442455,0.05962,,40.8,81.6
8341,21.61421441,127.945083,0.012163,36.43121518,4.0277251,0.053952994,,10.0,20.1
8343,0.026496735,132.011717,0.3368,170.2938368,17.4980485,0.164937007,,46.9,93.8
8344,4.159045339,131.2607619,0.246,277.7493065,7.904768,0.180888995,0.268,76.5,153.0
8345,6.528313966,138.4545481,0.04104,57.50130172,4.426572,0.07941,,15.8,31.7
8347,14.80833672,131.8067016,0.05799,88.51026868,10.0432203,0.087096226,0.094,24.4,48.8
8351,27.6798825,132.2471393,0.02455,48.73965119,3.5510868,0.076119331,,13.4,26.9
8352,27.47256349,130.8631314,0.2096,169.0397082,11.5010567,0.12,,46.6,93.1
8353,26.70477974,130.0494064,0.02891,70.42109356,6.1842932,0.056422109,,19.4,38.8
8354,25.29521526,133.7558624,0.204,190.834236,12.19715131,0.138481716,0.135,52.6,105.1
8356,35.73877803,140.3409978,0.2314,115.0884575,15.709027,0.1597,0.16,31.7,63.4
8358,34.11607467,140.8331712,0.16,117.4337538,11.4223538,0.12301,0.137,32.4,64.7
8361,12.97588564,147.6794536,0.5583,381.113376,10.1673577,0.2714,,105.0,210.0
8364,28.83967478,149.484064,0.2849,593.7332034,11.330707,0.1106,,163.6,327.1
8365,25.671137,145.6534483,0.03663,94.34393835,7.5260187,0.065701931,,26.0,52.0
8366,23.14474416,145.5985794,0.03919,132.3304194,4.6379474,0.04753,,36.5,72.9
8367,25.0223032,143.8005403,0.09334,96.96434498,10.8824597,0.103076074,,26.7,53.4
8368,16.68534338,145.4708414,0.06101,170.864593,4.03908,0.05647,,47.1,94.1
8369,19.54772091,145.7379533,0.02271,70.50246444,4.817673,0.04303,,19.4,38.8
